hhh
2025-12-28T22:06:04.845252 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/ | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query=q=XSS_TEST_%3C%3E%22%27%28%29 | Body={}... | UA=curl/8.5.0 | Hash=326d25ee358c6d608ca8ff5bd5ef199a
2025-12-28T22:06:10.338378 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/search | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query=q=XSS_TEST_%3Ctag%3E | Body={}... | UA=curl/8.5.0 | Hash=00d364d93fb927a1b43723f51d3cea12
2025-12-28T22:06:15.847241 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/ | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query=input=XSS_TEST_%22%27%3C%3E | Body={}... | UA=XSS-TEST-AGENT | Hash=7e16c358325de10e2e0ddd1215343b78
2025-12-28T22:06:20.844700 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/ | Attack=XSS | Severity=critical | Reason=Multiple XSS patterns detected (2) | Query=q=<script>alert('test')</script> | Body={}... | UA=curl/8.5.0 | Hash=8510b388bc0ce27d41620e414b145ffc
2025-12-28T22:06:25.410998 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/search | Attack=XSS | Severity=critical | Reason=Multiple XSS patterns detected (2) | Query=q=%3Cscript%3Ealert%281%29%3C%2Fscript%3E | Body={}... | UA=curl/8.5.0 | Hash=223f2cec5a8eb624eaac868f538a3509
2025-12-28T22:06:28.432881 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=POST | Path=/comment | Attack=XSS | Severity=critical | Reason=Multiple XSS patterns detected (2) | Query= | Body={"comment": "<img src=x onerror=alert(1)>"}... | UA=curl/8.5.0 | Hash=3e46bfc558cced4f8b540bc2a4411b98
2025-12-28T22:06:30.646670 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/ | Attack=XSS | Severity=critical | Reason=Multiple XSS patterns detected (2) | Query=name=<svg/onload=alert('XSS')> | Body={}... | UA=curl/8.5.0 | Hash=746ac7bbb81706672fe349c744e77571
2025-12-28T22:06:33.067267 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/ | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query= | Body={}... | UA=<script>alert(1)</script> | Hash=5bd15c18be8fc05ddbcd0618a648f9cb
2025-12-28T22:06:36.774778 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/ | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query= | Body={}... | UA=curl/8.5.0 | Hash=5bd15c18be8fc05ddbcd0618a648f9cb
2025-12-28T22:06:42.538418 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/item | Attack=Command Injection | Severity=high | Reason=Command injection pattern detected | Query=id=SQLI_TEST_%27%22%3B-- | Body={}... | UA=curl/8.5.0 | Hash=bb089a6db6601e54719b275d10b749e3
2025-12-28T22:06:50.462034 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/login | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query=user=admin&pass=SQLI_TEST_%27-- | Body={}... | UA=curl/8.5.0 | Hash=d29b8e351fe4c25ce8ad5a30cf157d3a
2025-12-28T22:06:58.396357 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=POST | Path=/api | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query= | Body={"json_data": {"id": "SQLI_TEST_%27%22%3B--"}}... | UA=curl/8.5.0 | Hash=6d1a26652c6797642cba9adb1dc8eac5
2025-12-28T22:07:05.766828 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/product | Attack=Command Injection | Severity=high | Reason=Command injection pattern detected | Query=id=1' | Body={}... | UA=curl/8.5.0 | Hash=6040baa212fd19b534e322a8f6750e15
2025-12-28T22:07:13.164749 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/login | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query=user=admin'-- | Body={}... | UA=curl/8.5.0 | Hash=2815ffc10541385af713445807ebc0ab
2025-12-28T22:07:19.710994 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=POST | Path=/login | Attack=None | Severity=info | Reason=Normal login attempt | Query= | Body={"username": "admin'--", "password": "anything"}... | UA=curl/8.5.0 | Hash=f70c35ec34e9756954e80a1409ca8116
2025-12-28T22:07:25.012586 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/ | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query= | Body={}... | UA=curl/8.5.0 | Hash=5bd15c18be8fc05ddbcd0618a648f9cb
2025-12-28T22:07:29.280336 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/admin | Attack=Reconnaissance | Severity=high | Reason=Sensitive admin endpoint accessed: /admin | Query= | Body={}... | UA=curl/8.5.0 | Hash=c7bdb7e911df3840bd07fe6066c60fc7
2025-12-28T22:07:32.490302 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/login | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query= | Body={}... | UA=curl/8.5.0 | Hash=22126050e83c170d6e2af0055943f4c6
2025-12-28T22:07:35.223220 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/wp-admin | Attack=Internal Network Scan | Severity=medium | Reason=Access from private IP: 192.168.1.11 | Query= | Body={}... | UA=curl/8.5.0 | Hash=0f95b26f006398bd319af99866d8b74c
2025-12-28T22:07:38.041806 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/phpmyadmin | Attack=Reconnaissance | Severity=high | Reason=Sensitive admin endpoint accessed: /phpmyadmin | Query= | Body={}... | UA=curl/8.5.0 | Hash=716f0e6ecb2a31e4ba3fd1eed548d755
2025-12-28T22:07:40.247075 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/config | Attack=Reconnaissance | Severity=critical | Reason=Sensitive system file accessed: /config | Query= | Body={}... | UA=curl/8.5.0 | Hash=dd1ab23f51047111b1d878c5a9b294bf
2025-12-28T22:07:41.799228 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/backup | Attack=Reconnaissance | Severity=critical | Reason=Sensitive system file accessed: /backup | Query= | Body={}... | UA=curl/8.5.0 | Hash=c0f6f7e51be774ebc0bebf90b65d974c
2025-12-28T22:07:42.966400 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/ | Attack=Scanning/Reconnaissance | Severity=medium | Reason=Known scanner tool detected by User-Agent | Query= | Body={}... | UA=sqlmap/1.0 | Hash=5bd15c18be8fc05ddbcd0618a648f9cb
2025-12-28T22:07:44.274602 | IP=192.168.1.11 | Country=Unknown | Private=True | Method=GET | Path=/ | Attack=Scanning/Reconnaissance | Severity=medium | Reason=Known scanner tool detected by User-Agent | Query= | Body={}... | UA=nmap | Hash=5bd15c18be8fc05ddbcd0618a648f9cb
